 | 239  | Rattata            |  0.08577% | 254    |  0.086% | 115    |  0.242% |
 | 240  | Forretress         |  0.11380% | 337    |  0.114% | 114    |  0.240% |
 | 241  | Politoed           |  0.16343% | 484    |  0.163% | 113    |  0.238% |
 | 242  | Hitmontop          |  0.12494% | 370    |  0.125% | 113    |  0.238% |
 | 243  | Lickilicky         |  0.06855% | 203    |  0.069% | 112    |  0.235% |
 | 244  | Walrein            |  0.08476% | 251    |  0.085% | 111    |  0.233% |
 | 245  | Exeggutor          |  0.12055% | 357    |  0.121% | 111    |  0.233% |
 | 246  | Doublade           |  0.09522% | 282    |  0.095% | 109    |  0.229% |
 | 247  | Swinub             |  0.04491% | 133    |  0.045% | 109    |  0.229% |
 | 248  | Flygon             |  0.09218% | 273    |  0.092% | 108    |  0.227% |
 | 249  | Spinda             |  0.09083% | 269    |  0.091% | 108    |  0.227% |
 | 250  | Wailord            |  0.10502% | 311    |  0.105% | 107    |  0.225% |
 | 251  | Yanmega            |  0.09185% | 272    |  0.092% | 105    |  0.221% |
 | 252  | Aromatisse         |  0.09286% | 275    |  0.093% | 105    |  0.221% |
 | 253  | Tentacruel         |  0.10907% | 323    |  0.109% | 104    |  0.219% |
 | 254  | Hippowdon          |  0.11278% | 334    |  0.113% | 103    |  0.217% |
 | 255  | Machoke            |  0.06956% | 206    |  0.070% | 100    |  0.210% |
 | 256  | Kingler            |  0.08915% | 264    |  0.089% | 100    |  0.210% |
 | 257  | Escavalier         |  0.11042% | 327    |  0.110% | 97     |  0.204% |
 | 258  | Gourgeist          |  0.05099% | 151    |  0.051% | 95     |  0.200% |
 | 259  | Cacturne           |  0.08847% | 262    |  0.088% | 94     |  0.198% |
 | 260  | Relicanth          |  0.07969% | 236    |  0.080% | 94     |  0.198% |
 | 261  | Braviary           |  0.11616% | 344    |  0.116% | 93     |  0.196% |
 | 262  | Armaldo            |  0.06787% | 201    |  0.068% | 93     |  0.196% |
 | 263  | Articuno           |  0.12595% | 373    |  0.126% | 93     |  0.196% |
 | 264  | Kangaskhan         |  0.10029% | 297    |  0.100% | 91     |  0.191% |
 | 265  | Cobalion           |  0.10772% | 319    |  0.108% | 90     |  0.189% |
 | 266  | Kyurem             |  0.10941% | 324    |  0.109% | 89     |  0.187% |
 | 267  | Emolga             |  0.05099% | 151    |  0.051% | 88     |  0.185% |
 | 268  | Magmortar          |  0.06652% | 197    |  0.067% | 88     |  0.185% |
 | 269  | Tornadus-Therian   |  0.07192% | 213    |  0.072% | 88     |  0.185% |
 | 270  | Vivillon           |  0.09421% | 279    |  0.094% | 86     |  0.181% |
 | 271  | Seviper            |  0.13642% | 404    |  0.136% | 85     |  0.179% |
 | 272  | Zygarde            |  0.07395% | 219    |  0.074% | 84     |  0.177% |
 | 273  | Druddigon          |  0.07631% | 226    |  0.076% | 82     |  0.172% |
 | 274  | Watchog            |  0.04457% | 132    |  0.045% | 81     |  0.170% |
