 | 213  | Magmortar          |  1.51632% | 2207   |  1.516% | 1502   |  1.428% |
 | 214  | Garbodor           |  1.51357% | 2203   |  1.514% | 1628   |  1.547% |
 | 215  | Celebi             |  1.51288% | 2202   |  1.513% | 1503   |  1.428% |
 | 216  | Hawlucha           |  1.51013% | 2198   |  1.510% | 1420   |  1.350% |
 | 217  | Nidoqueen          |  1.50876% | 2196   |  1.509% | 1728   |  1.642% |
 | 218  | Espeon             |  1.50189% | 2186   |  1.502% | 1562   |  1.485% |
 | 219  | Crustle            |  1.49158% | 2171   |  1.492% | 1668   |  1.585% |
 | 220  | Snorlax            |  1.48471% | 2161   |  1.485% | 1598   |  1.519% |
 | 221  | Swellow            |  1.48265% | 2158   |  1.483% | 1559   |  1.482% |
 | 222  | Musharna           |  1.48265% | 2158   |  1.483% | 1420   |  1.350% |
 | 223  | Pyroar             |  1.48128% | 2156   |  1.481% | 1562   |  1.485% |
 | 224  | Tornadus-Therian   |  1.47631% | 2149   |  1.476% | 1602   |  1.523% |
 | 225  | Kyurem             |  1.47372% | 2145   |  1.474% | 1409   |  1.339% |
 | 226  | Sharpedo           |  1.46341% | 2130   |  1.463% | 1484   |  1.410% |
 | 227  | Beheeyem           |  1.45929% | 2124   |  1.459% | 1447   |  1.375% |
 | 228  | Umbreon            |  1.45861% | 2123   |  1.459% | 1405   |  1.335% |
 | 229  | Dodrio             |  1.45792% | 2122   |  1.458% | 1394   |  1.325% |
 | 230  | Yanmega            |  1.45792% | 2122   |  1.458% | 1497   |  1.423% |
 | 231  | Zoroark            |  1.45448% | 2117   |  1.454% | 760    |  0.722% |
 | 232  | Vivillon           |  1.44693% | 2106   |  1.447% | 1464   |  1.391% |
 | 233  | Thundurus          |  1.44503% | 2104   |  1.446% | 1520   |  1.445% |
 | 234  | Chatot             |  1.43868% | 2094   |  1.439% | 1444   |  1.372% |
 | 235  | Kabutops           |  1.43593% | 2090   |  1.436% | 1351   |  1.284% |
 | 236  | Chimecho           |  1.43181% | 2084   |  1.432% | 1417   |  1.347% |
 | 237  | Shuckle            |  1.43044% | 2082   |  1.430% | 1784   |  1.696% |
